                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.248515       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 1.00000000000000e+00 -3.98932386149694e-03
 9.76418988732383e-01 -4.24987526197817e-04
 9.52775514458974e-01  2.29641229700336e-03
 9.29108806819255e-01  4.11826133430647e-03
 9.05452973159511e-01  5.11616628096594e-03
 8.81870971319654e-01  5.05538028202041e-03
 8.58426083634665e-01  3.95862526969034e-03
 8.35171453883250e-01  2.03685903736186e-03
 8.12153955402277e-01 -5.98415253027893e-04
 7.89425902855926e-01 -4.05462430433015e-03
 7.67033075878511e-01 -8.31281481912178e-03
 7.45004824674068e-01 -1.32519815696814e-02
 7.23352269867825e-01 -1.87427150918437e-02
 7.02079326355105e-01 -2.46697045079718e-02
 6.81187032444147e-01 -3.09356218159840e-02
 6.60666256298659e-01 -3.74304419441240e-02
 6.40502241547552e-01 -4.40455741829377e-02
 6.20677099100587e-01 -5.06763784676369e-02
 6.01176799297295e-01 -5.72384125591432e-02
 5.81986289120066e-01 -6.36489067637115e-02
 5.63094631258223e-01 -6.98390703152392e-02
 5.44495074548117e-01 -7.57531766510862e-02
 5.26182925421208e-01 -8.13397834871748e-02
 5.08159794366865e-01 -8.65686716287299e-02
 4.90425832970434e-01 -9.13993445229273e-02
 4.72984897222827e-01 -9.58037585954050e-02
 4.55845623443143e-01 -9.97692640351010e-02
 4.39020953490703e-01 -1.03307424110393e-01
 4.22520341373869e-01 -1.06414289881601e-01
 4.06355737689160e-01 -1.09119573647262e-01
 3.90537857165423e-01 -1.11728280868884e-01
 3.75074298112145e-01 -1.13896681485943e-01
 3.59974670416739e-01 -1.15660517579220e-01
 3.45245898832106e-01 -1.17047133003323e-01
 3.30894784605522e-01 -1.18088611694228e-01
 3.16924104819264e-01 -1.18798728132844e-01
 3.03338226515042e-01 -1.19222052929463e-01
 2.90139021427371e-01 -1.19346135414823e-01
 2.77326377035381e-01 -1.19223800167918e-01
 2.64900953516150e-01 -1.18863047517183e-01
 2.52860695593714e-01 -1.18285066995392e-01
 2.41203197245533e-01 -1.17509476644212e-01
 2.29926149091185e-01 -1.16546498124381e-01
 2.19025991267283e-01 -1.15408909225470e-01
 2.08496901794784e-01 -1.14120024057629e-01
 1.98336201822883e-01 -1.12680279272140e-01
 1.88535373827534e-01 -1.11126276795308e-01
 1.79090286868573e-01 -1.09401977453835e-01
 1.69993805537885e-01 -1.07431643532378e-01
 1.61238843836509e-01 -1.05354797322200e-01
 1.52817244896801e-01 -1.03188294841297e-01
 1.44720547267110e-01 -1.00942662445475e-01
 1.36942291867401e-01 -9.86249503859746e-02
 1.29474944165445e-01 -9.62448518139913e-02
 1.22309166273194e-01 -9.38145315928070e-02
