------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
60          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -6.354122360450852e-03 -2.276626484469566e-02  9.247561428281342e-01  1.559455301971172e+01  5.200000000000000e+00        1
 1.983049231077154e+00  2.565098089907384e-02  3.747900452490646e-02  9.209063433322598e-01  1.559158458147224e+01  5.207016992417990e+00        2
 3.966098462154307e+00  5.738962991802838e-02  8.436755979219530e-02  7.520107054260157e-01  1.547828574567604e+01  5.227344797957124e+00        3
 5.949147693231462e+00  7.770477780722020e-02  7.826775144817046e-02  4.696768102242476e-01  1.519032785048175e+01  5.264581904645322e+00        4
 7.932196924308615e+00  8.990098814087458e-02  3.117983690713895e-02  2.891111797930839e-01  1.473076011544496e+01  5.316869714687599e+00        5
 9.915246155385770e+00  9.771739565511353e-02 -4.371184458996358e-02  2.129016333203090e-01  1.412899701805921e+01  5.380214248880010e+00        6
 1.189829538646293e+01  1.046383196605717e-01 -1.333058533098856e-01  2.218150365353521e-01  1.341366913150083e+01  5.450602191950782e+00        7
 1.388134461754008e+01  1.130717216666912e-01 -2.251696124892700e-01  3.121232805546433e-01  1.260382191351727e+01  5.523636313469118e+00        8
 1.586439384861723e+01  1.262438471672135e-01 -2.982562616189238e-01  4.920231347846317e-01  1.176293384800661e+01  5.593024199300461e+00        9
 1.784744307969439e+01  1.471298709890134e-01 -3.330703849192858e-01  5.846147761884821e-01  1.090559236472264e+01  5.658268008373049e+00       10
 1.983049231077154e+01  1.667110430456951e-01 -3.558669469225597e-01  4.676276262657861e-01  1.006213238996506e+01  5.711953098800804e+00       11
 2.181354154184869e+01  1.794993864174917e-01 -3.864812865520105e-01  2.783366425491005e-01  9.275583774307544e+00  5.748592898907686e+00       12
 2.379659077292585e+01  1.859778406611306e-01 -4.153972548072730e-01  1.424182136639921e-01  8.579539781801699e+00  5.764287057882662e+00       13
 2.577964000400300e+01  1.893577753135579e-01 -4.338619975758842e-01  1.099347111515638e-01  7.975440811488634e+00  5.758773576941316e+00       14
 2.776268923508016e+01  1.935876790298834e-01 -4.308676623244506e-01  1.516175378011736e-01  7.428778675493190e+00  5.724177050914543e+00       15
 2.974573846615731e+01  1.998529529133090e-01 -4.026916383237383e-01  1.650475613313219e-01  6.898621045613074e+00  5.658365050214271e+00       16
 3.172878769723447e+01  2.050124991377180e-01 -3.741266555998435e-01  1.269835900382712e-01  6.373038618224150e+00  5.567289084032925e+00       17
 3.371183692831161e+01  2.086429373267003e-01 -3.486643166754047e-01  8.211752245002038e-02  5.862524708384814e+00  5.454759747366821e+00       18
 3.569488615938877e+01  2.106967933522803e-01 -3.271652981708053e-01  4.084855747534186e-02  5.375883945604469e+00  5.330392344933024e+00       19
 3.767793539046592e+01  2.114705345535199e-01 -3.078860222769393e-01  9.906706450305036e-03  4.916693548335011e+00  5.201060138515377e+00       20
 3.966098462154308e+01  2.113825501978229e-01 -2.907853786483262e-01 -2.204162002766214e-02  4.489089793116440e+00  5.076258311127794e+00       21
 4.164403385262023e+01  2.099447811056782e-01 -2.751282362071457e-01 -7.389639569366611e-02  4.092478890166657e+00  4.958893582410417e+00       22
 4.362708308369738e+01  2.062673339889226e-01 -2.601525873830706e-01 -2.199535832778679e-01  3.727913402938968e+00  4.850372400899202e+00       23
 4.561013231477454e+01  1.947193066797245e-01 -2.450669665586304e-01 -4.407932780959642e-01  3.405947623411396e+00  4.756471937641366e+00       24
 4.759318154585169e+01  1.757552733808272e-01 -2.299176459449199e-01 -6.729188111112310e-01  3.101178102839972e+00  4.662270013690496e+00       25
 4.957623077692885e+01  1.481399437790571e-01 -2.150177147313348e-01 -9.285595065418212e-01  2.812340282765014e+00  4.567953406558471e+00       26
 5.155928000800600e+01  1.114818268414734e-01 -2.007232886516078e-01 -1.155583809162800e+00  2.538248669647947e+00  4.473817376534431e+00       27
 5.354232923908316e+01  6.815414915046204e-02 -1.881871731446454e-01 -1.330539503261519e+00  2.280970096102547e+00  4.380632037093791e+00       28
 5.552537847016031e+01  1.938819554016306e-02 -1.773046545475089e-01 -1.464336960519903e+00  2.037493824624681e+00  4.288919542171064e+00       29
 5.750842770123747e+01 -3.319838301558851e-02 -1.677586778105095e-01 -1.545387202729386e+00  1.804981646715069e+00  4.198720796267200e+00       30
 5.949147693231461e+01 -8.757281857176771e-02 -1.598363653724367e-01 -1.605096111415449e+00  1.581229534327560e+00  4.110537521835078e+00       31
 6.147452616339177e+01 -1.442909738007195e-01 -1.535967980419611e-01 -1.723876455032442e+00  1.366278670299260e+00  4.024571932866714e+00       32
 6.345757539446893e+01 -2.068840893783268e-01 -1.490541055391245e-01 -1.955564978806178e+00  1.162343123051949e+00  3.940946308482389e+00       33
 6.544062462554606e+01 -2.796317886338862e-01 -1.461129121942456e-01 -2.247560645429477e+00  9.715702387142202e-01  3.859735244770620e+00       34
 6.742367385662322e+01 -3.624236586000278e-01 -1.435529464365345e-01 -2.552774915605469e+00  7.921965372519457e-01  3.780547463245565e+00       35
 6.940672308770040e+01 -4.562801804702638e-01 -1.428411341297762e-01 -2.806510014318181e+00  6.228238095373816e-01  3.703080403248769e+00       36
 7.138977231877753e+01 -5.566167490217071e-01 -1.430877234542661e-01 -2.981006906973879e+00  4.571828917942077e-01  3.626461616072640e+00       37
 7.337282154985469e+01 -6.625367965070234e-01 -1.443398225822566e-01 -3.122618223566545e+00  2.930931776627780e-01  3.550391604908319e+00       38
 7.535587078093184e+01 -7.726620050301233e-01 -1.464087109992220e-01 -3.221396633038859e+00  1.282873234731204e-01  3.474470899305246e+00       39
 7.733892001200900e+01 -8.854091632828968e-01 -1.489918318466571e-01 -3.285117138224201e+00 -4.134382350419585e-02  3.398239460089367e+00       40
 7.932196924308616e+01 -9.999380907539773e-01 -1.520210369382747e-01 -3.319138441112612e+00 -2.220284416441451e-01  3.321510930437240e+00       41
 8.130501847416332e+01 -1.115036343728874e+00 -1.554305012521569e-01 -3.411554343551058e+00 -4.191526611475360e-01  3.243928503239077e+00       42
 8.328806770524046e+01 -1.235951403922392e+00 -1.590832110660448e-01 -3.581024028550452e+00 -6.476000278276630e-01  3.167084100185892e+00       43
 8.527111693631761e+01 -1.362758760254267e+00 -1.628818764704177e-01 -3.743322656468301e+00 -9.071397255578008e-01  3.090950540070448e+00       44
 8.725416616739477e+01 -1.494885426481492e+00 -1.665945644488070e-01 -3.892713050777767e+00 -1.174183651744388e+00  3.014932869396558e+00       45
 8.923721539847192e+01 -1.632010852479900e+00 -1.700789169255391e-01 -4.038689730152070e+00 -1.436943261812999e+00  2.938702556598292e+00       46
 9.122026462954908e+01 -1.774218042831839e+00 -1.731088495536201e-01 -4.158478634651441e+00 -1.676397619878476e+00  2.861640212452495e+00       47
 9.320331386062624e+01 -1.919614225885715e+00 -1.756080313920556e-01 -4.262875943247320e+00 -1.893217955947244e+00  2.783791894313496e+00       48
 9.518636309170341e+01 -2.069028445316031e+00 -1.781497400989234e-01 -4.372814807060042e+00 -2.060866013559260e+00  2.704114208467504e+00       49
 9.716941232278053e+01 -2.222013158109122e+00 -1.808899967123190e-01 -4.471309193016956e+00 -2.144765409008631e+00  2.622294805247438e+00       50
 9.915246155385768e+01 -2.378225007505370e+00 -1.839115670096089e-01 -4.579682135108648e+00 -2.171787871754350e+00  2.538149072435076e+00       51
 1.011355107849349e+02 -2.538688066267184e+00 -1.870145777015925e-01 -4.714991012519826e+00 -2.169841737903316e+00  2.451913477622042e+00       52
 1.031185600160120e+02 -2.704235400077896e+00 -1.899453762088470e-01 -4.860934250042122e+00 -2.146669637330681e+00  2.363871504105822e+00       53
 1.051016092470892e+02 -2.874765609339738e+00 -1.925386805146708e-01 -5.004469357542062e+00 -2.101624641165679e+00  2.274062408079829e+00       54
 1.070846584781663e+02 -3.050211854566658e+00 -1.946541013667238e-01 -5.141563927770118e+00 -2.034582423164419e+00  2.182555796759211e+00       55
 1.090677077092435e+02 -3.230194776555942e+00 -1.963723231717594e-01 -5.280468312535612e+00 -1.944520688672223e+00  2.089412293614244e+00       56
 1.110507569403206e+02 -3.415216446139659e+00 -1.978387201887740e-01 -5.430122863459842e+00 -1.821305096026263e+00  1.994540012470435e+00       57
 1.130338061713978e+02 -3.605513456728891e+00 -1.995442064397996e-01 -5.552897848021356e+00 -1.655912539509068e+00  1.898549506409309e+00       58
 1.150168554024749e+02 -3.798994784849127e+00 -2.000954727439949e-01 -5.689741904265237e+00 -1.463084875735750e+00  1.795796624288552e+00       59
 1.169999046335521e+02 -3.998718787548573e+00 -5.907701779748529e-02 -5.780379662482343e+00 -1.242387706272970e+00  5.000000000000000e-01       60
