 Case_ID  AeroDyn15  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn     ElastoDyn      ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn  ElastoDyn     Fst         Fst         Fst        Fst       Fst        Fst        Fst         Fst      Fst     Fst      Fst       Fst       Fst    HydroDyn  HydroDyn  HydroDyn  HydroDyn  HydroDyn   HydroDyn  HydroDyn  InflowWind  InflowWind   ServoDyn  ServoDyn  ServoDyn      ServoDyn           ServoDyn           ServoDyn       ServoDyn 
          AFAeroMod   BlPitch1   BlPitch2   BlPitch3   DrTrDOF    EdgeDOF    FlapDOF1   FlapDOF2    GenDOF   PtfmHvDOF   PtfmPDOF   PtfmRDOF  PtfmSgDOF  PtfmSwDOF   PtfmYDOF      RotSpeed       TeetDOF    TwFADOF1   TwFADOF2   TwSSDOF1   TwSSDOF2    YawDOF   CalcSteady  CompHydro  CompMooring  CompSub  Linearize  NLinTimes  OutFileFmt    OutFmt    TMax   TStart  TrimCase  TrimGain  TrimTol  DiffQTF   ExctnMod   RdtnDT   RdtnMod   WaveMod   WvDiffQTF  WvSumQTF  HWindSpeed   WindType   HSSBrMode   PCMode   VSContrl      VS_Rgn2K          VS_RtGnSp           VS_RtTq        VS_SlPc  
    0         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False        3           1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    1         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False        4           1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    2         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False        5           1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    3         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False        6           1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    4         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False        7           1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    5         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False        8           1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    6         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False       8.25         1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    7         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False       8.5          1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
    8         1          0          0          0        False      False      False      False       True      False       True      False      False      False      False    7.49924684467502    False       True      False      False      False      False       True         1           1          0        True        12         3       ES20.11E3  1600.0   0.0       2       0.0001    0.001      0         2      default      2         0        False     False       8.75         1           0         0         1      437898.875232622  6.749322160207518  19947760.562669665    10.0   
