Time [min], Velocity [m/s]
0,0.8838
5.2083,0.79291
10.417,0.70427
15.625,0.61517
20.833,0.50779
26.042,0.41085
31.25,0.27899
36.458,0.16447
41.667,0.10427
46.875,0.31639
52.083,0.39589
57.292,0.51158
62.5,0.62733
67.708,0.7332
72.917,0.82335
78.125,0.97169
83.333,1.0773
88.542,1.1879
93.75,1.3214
98.958,1.4098
104.17,1.4937
109.37,1.5552
114.58,1.6495
119.79,1.7691
125,1.8915
130.21,1.911
135.42,1.9301
140.62,1.9045
145.83,1.8989
151.04,1.9554
156.25,1.956
161.46,1.956
166.67,1.9675
171.87,1.9077
177.08,1.9272
182.29,1.982
187.5,1.9234
192.71,1.8941
197.92,1.7339
203.12,1.5709
208.33,1.8122
213.54,1.8206
218.75,1.8139
223.96,1.7967
229.17,1.8522
234.38,1.9308
239.58,1.9676
244.79,1.9551
250,2.0118
255.21,1.9866
260.42,1.9693
265.62,1.8744
270.83,1.8373
276.04,1.7245
281.25,1.6426
286.46,1.4815
291.67,1.2285
296.87,1.1488
302.08,1.2798
307.29,1.1516
312.5,1.102
317.71,1.2592
322.92,1.1392
328.12,1.3209
333.33,1.2015
338.54,1.0718
343.75,1.0096
348.96,1.0181
354.17,0.96927
359.37,0.88306
364.58,0.79626
369.79,0.75505
375,0.67464
380.21,0.60487
385.42,0.53175
390.62,0.46313
395.83,0.39194
401.04,0.29155
406.25,0.21301
411.46,0.22102
416.67,0.083033
421.88,0.071533
427.08,0.16247
432.29,0.32189
437.5,0.58117
442.71,0.80822
447.92,0.81364
453.12,0.78988
458.33,0.94885
463.54,1.1383
468.75,1.1756
473.96,1.3312
479.17,1.4807
484.37,1.6088
489.58,1.6866
494.79,1.8624
500,1.8907
505.21,1.9539
510.42,2.0046
515.62,2.0522
520.83,2.1064
526.04,2.1097
531.25,2.0885
536.46,2.1202
541.67,2.1369
546.87,2.1544
552.08,2.1348
557.29,2.118
562.5,2.1399
567.71,2.1505
572.92,2.1545
578.13,2.2443
583.33,2.2638
588.54,2.2327
593.75,2.0215
598.96,1.956
604.17,2.0477
609.38,1.9902
614.58,1.9399
619.79,1.9682
625,1.9535
630.21,1.9086
635.42,1.8859
