------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -6.354122360450852e-03 -2.276626484469566e-02  9.071541739161367e-01  1.559455301971172e+01  5.200000000000000e+00        1
 4.039448011426316e+00  5.759908779199409e-02  8.409532818008453e-02  6.852780279028104e-01  1.548827310836535e+01  5.226504072052053e+00        2
 8.078896022852632e+00  9.027006161325665e-02  2.657083664790913e-02  3.386483210591352e-01  1.471353124178717e+01  5.319400683825207e+00        3
 1.211834403427895e+01  1.053493526094643e-01 -1.430582049771734e-01  2.742018717488829e-01  1.333361729156849e+01  5.458074553003684e+00        4
 1.615779204570527e+01  1.289332925515866e-01 -3.055881210121048e-01  4.492743344435511e-01  1.164349455458099e+01  5.603038107463281e+00        5
 2.019724005713158e+01  1.686978831499606e-01 -3.618596340090011e-01  4.103419500687999e-01  9.927004257169598e+00  5.718286587458929e+00        6
 2.423668806855790e+01  1.867923815996043e-01 -4.201824926109597e-01  1.875839712172717e-01  8.445486930541920e+00  5.764630606410189e+00        7
 2.827613607998422e+01  1.951478015306729e-01 -4.251177759746985e-01  1.379561027684505e-01  7.300998417700017e+00  5.715053106286686e+00        8
 3.231558409141054e+01  2.062446334504231e-01 -3.665578648409157e-01  1.131766114131276e-01  6.228888266329778e+00  5.539182293334066e+00        9
 3.635503210283684e+01  2.111060708656053e-01 -3.208742933488080e-01  3.584391672467276e-02  5.229058385210934e+00  5.290780459215475e+00       10
 4.039448011426316e+01  2.112987449372143e-01 -2.852868349096146e-01 -6.513249699479855e-02  4.345869365684453e+00  5.034005694445184e+00       11
 4.443392812568948e+01  2.019221735162620e-01 -2.543873157600847e-01 -3.249711913609120e-01  3.606791508890919e+00  4.815660040795825e+00       12
 4.847337613711579e+01  1.654769686840538e-01 -2.236922672359447e-01 -7.792563223540293e-01  2.979819494333285e+00  4.623237527554848e+00       13
 5.251282414854211e+01  9.204782026168026e-02 -1.950603613830731e-01 -1.214688652025079e+00  2.422957499277295e+00  4.432040224442178e+00       14
 5.655227215996842e+01 -5.785353130636489e-03 -1.725201962652448e-01 -1.477926480280359e+00  1.924394507280906e+00  4.245198165139500e+00       15
 6.059172017139475e+01 -1.163216343441638e-01 -1.563629639608980e-01 -1.707533740597317e+00  1.468690228780578e+00  4.065767388212587e+00       16
 6.463116818282106e+01 -2.465176674081784e-01 -1.474075838224651e-01 -2.133402476397700e+00  1.056535430608546e+00  3.896040232078195e+00       17
 6.867061619424737e+01 -4.170689937171330e-01 -1.431022417545716e-01 -2.661476282743570e+00  6.927184228293563e-01  3.735084172342323e+00       18
 7.271006420567369e+01 -6.216597566218935e-01 -1.437189124901889e-01 -3.045486759407596e+00  3.553347025744227e-01  3.579206353540959e+00       19
 7.674951221710000e+01 -8.462906034734053e-01 -1.480390263522007e-01 -3.244407496590056e+00  1.833021655638992e-02  3.424580142056527e+00       20
 8.078896022852634e+01 -1.078887597043691e+00 -1.543666389822041e-01 -3.408868032511684e+00 -3.558851183432440e-01  3.267946590725438e+00       21
 8.482840823995265e+01 -1.326668844547634e+00 -1.617873355659470e-01 -3.684642959362605e+00 -8.310248222211819e-01  3.111859691750389e+00       22
 8.886785625137894e+01 -1.598076506386773e+00 -1.692479050336574e-01 -3.992985408443658e+00 -1.374336100671351e+00  2.957140175463699e+00       23
 9.290730426280528e+01 -1.889237467170644e+00 -1.750981966758025e-01 -4.237660075425215e+00 -1.852097915614595e+00  2.800021994595202e+00       24
 9.694675227423157e+01 -2.195056093285354e+00 -1.803227544726144e-01 -4.446977693671557e+00 -2.140769879506240e+00  2.636789987609878e+00       25
 1.009862002856579e+02 -2.515646798205873e+00 -1.865270446632419e-01 -4.698699278832223e+00 -2.174133330841580e+00  2.464131766705936e+00       26
 1.050256482970842e+02 -2.856845995304769e+00 -1.922875124871222e-01 -4.988536007729368e+00 -2.107358959662262e+00  2.283450245123892e+00       27
 1.090650963085105e+02 -3.218158657549206e+00 -1.963203966045450e-01 -5.269851652562600e+00 -1.947916654052926e+00  2.095681707230149e+00       28
 1.131045443199368e+02 -3.598865420575650e+00 -1.995444893102060e-01 -5.544405475846538e+00 -1.662300527625308e+00  1.902485114666707e+00       29
 1.171439923313632e+02 -3.998718787548576e+00 -5.907701779748530e-02 -5.680847935837653e+00 -1.242387706272970e+00  5.000000000000001e-01       30
