------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
60          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -6.354122360450852e-03 -2.276626484469566e-02  9.118741024498962e-01  1.559455301971172e+01  5.200000000000000e+00        1
 1.983050847457628e+00  2.520520696118726e-02  3.679515043718686e-02  9.111636856532785e-01  1.558979372289309e+01  5.206579551102845e+00        2
 3.966101694915255e+00  5.671536636608512e-02  8.344359480191868e-02  7.501516525148130e-01  1.549494095800279e+01  5.225519895327118e+00        3
 5.949152542372882e+00  7.713037086247877e-02  7.766218232960163e-02  4.750334521121652e-01  1.522106867846087e+01  5.261958365134192e+00        4
 7.932203389830509e+00  8.959753345154917e-02  3.093790691244898e-02  2.965444494659912e-01  1.475186876544126e+01  5.315236427502207e+00        5
 9.915254237288137e+00  9.765754062455900e-02 -4.365351776625908e-02  2.170022614496864e-01  1.413853410350098e+01  5.379609424104467e+00        6
 1.189830508474577e+01  1.046187267515722e-01 -1.333664915099312e-01  2.272778588487754e-01  1.341264131214100e+01  5.450628963952173e+00        7
 1.388135593220339e+01  1.133900211825821e-01 -2.247212559536093e-01  3.176267055654284e-01  1.260867505185706e+01  5.523983406893446e+00        8
 1.586440677966102e+01  1.266052216322131e-01 -2.980207533906544e-01  4.824484099968520e-01  1.176217879249515e+01  5.593831228943156e+00        9
 1.784745762711865e+01  1.467854451026040e-01 -3.331264630103555e-01  5.678537058138401e-01  1.090510002438613e+01  5.657482404163869e+00       10
 1.983050847457627e+01  1.659122821889963e-01 -3.569415089920312e-01  4.627355875374499e-01  1.006797832136374e+01  5.710317527940796e+00       11
 2.181355932203390e+01  1.788163636559192e-01 -3.869587005111388e-01  2.921427185274522e-01  9.281817829587936e+00  5.746845257837747e+00       12
 2.379661016949153e+01  1.861347614081960e-01 -4.152678927476579e-01  1.544283362830825e-01  8.578057537432572e+00  5.764796118317372e+00       13
 2.577966101694915e+01  1.895061168963348e-01 -4.332304188749164e-01  1.100551632280186e-01  7.972021336314564e+00  5.758987205723255e+00       14
 2.776271186440678e+01  1.937529438417426e-01 -4.302579490693365e-01  1.523559114420157e-01  7.427366950226677e+00  5.728517639445473e+00       15
 2.974576271186442e+01  2.000524142262422e-01 -4.021895312338142e-01  1.642822532479285e-01  6.897183057534926e+00  5.663704959472213e+00       16
 3.172881355932204e+01  2.051247976819252e-01 -3.738883395853292e-01  1.240022185140893e-01  6.371182236900750e+00  5.569669921496037e+00       17
 3.371186440677968e+01  2.086360311918959e-01 -3.487283859954075e-01  8.085428537278919e-02  5.862663469771300e+00  5.454714523160115e+00       18
 3.569491525423730e+01  2.107216534110969e-01 -3.271117177012567e-01  4.169321344670471e-02  5.375044468084406e+00  5.330531318652472e+00       19
 3.767796610169491e+01  2.115220990895505e-01 -3.077019497844368e-01  1.200598579841553e-02  4.913259639013758e+00  5.200428785765024e+00       20
 3.966101694915255e+01  2.115527261477003e-01 -2.907382289547141e-01 -2.089578949952758e-02  4.485371566184217e+00  5.075312439650228e+00       21
 4.164406779661017e+01  2.100756605382677e-01 -2.751488112574009e-01 -8.949320347828804e-02  4.092421144546397e+00  4.958748410164190e+00       22
 4.362711864406780e+01  2.053578719247298e-01 -2.600852388330550e-01 -2.249825115462240e-01  3.733851723184747e+00  4.852663099959566e+00       23
 4.561016949152543e+01  1.945020662019286e-01 -2.450455357111923e-01 -4.270490691461128e-01  3.406451251678701e+00  4.756249521156012e+00       24
 4.759322033898306e+01  1.757971543741920e-01 -2.299065663484909e-01 -6.792942106890053e-01  3.101059330362905e+00  4.662248585053952e+00       25
 4.957627118644068e+01  1.474813811276420e-01 -2.149666041652832e-01 -9.387706773374825e-01  2.812945783037587e+00  4.567927562875391e+00       26
 5.155932203389831e+01  1.108169163955665e-01 -2.009209336880295e-01 -1.154700710865548e+00  2.540361851004080e+00  4.473931483719482e+00       27
 5.354237288135594e+01  6.755663829757388e-02 -1.883524995885121e-01 -1.323709365744656e+00  2.282553379971463e+00  4.380823690264996e+00       28
 5.552542372881357e+01  1.919587579505590e-02 -1.773550273824031e-01 -1.454874854139365e+00  2.038145400779812e+00  4.289007979706054e+00       29
 5.750847457627120e+01 -3.314120749285782e-02 -1.677994692812582e-01 -1.541308286870550e+00  1.805029585913504e+00  4.198767187369626e+00       30
 5.949152542372881e+01 -8.748297911821354e-02 -1.598078767741192e-01 -1.600390058402754e+00  1.581105354587866e+00  4.110520884356097e+00       31
 6.147457627118646e+01 -1.439082560701998e-01 -1.534814202964878e-01 -1.734607042454629e+00  1.365953550410812e+00  4.024542405015649e+00       32
 6.345762711864407e+01 -2.075367966125196e-01 -1.492654254503359e-01 -1.973505530898989e+00  1.163122879295606e+00  3.941082855887365e+00       33
 6.544067796610169e+01 -2.804903238078857e-01 -1.461201660716295e-01 -2.253964982084280e+00  9.726483355019943e-01  3.859923711316573e+00       34
 6.742372881355934e+01 -3.635194686015752e-01 -1.437164662253587e-01 -2.541357277289904e+00  7.932538793800973e-01  3.780719223097356e+00       35
 6.940677966101696e+01 -4.563492940238333e-01 -1.428391531825440e-01 -2.789058932210131e+00  6.228192063645031e-01  3.703087628056954e+00       36
 7.138983050847460e+01 -5.565061665516247e-01 -1.430619141480958e-01 -2.980327733259737e+00  4.571978729042335e-01  3.626455974813209e+00       37
 7.337288135593222e+01 -6.625591283371071e-01 -1.443436871664053e-01 -3.123784625810610e+00  2.933103086154301e-01  3.550426252696965e+00       38
 7.535593220338983e+01 -7.726322188855083e-01 -1.463877251963646e-01 -3.221746867667043e+00  1.287838435817512e-01  3.474472866225737e+00       39
 7.733898305084747e+01 -8.854558822407965e-01 -1.489901228036555e-01 -3.283783556284066e+00 -4.126761287126958e-02  3.398254378533041e+00       40
 7.932203389830509e+01 -9.998163289078675e-01 -1.520370066891167e-01 -3.320924203855223e+00 -2.222343052619417e-01  3.321446893254719e+00       41
 8.130508474576273e+01 -1.115206655621556e+00 -1.554447801480470e-01 -3.407793910932634e+00 -4.199655597485463e-01  3.243954627328321e+00       42
 8.328813559322035e+01 -1.235569992327858e+00 -1.590501869276820e-01 -3.571024591799420e+00 -6.457517968403229e-01  3.167040023735908e+00       43
 8.527118644067798e+01 -1.362238445449958e+00 -1.628483354732657e-01 -3.741746616207819e+00 -9.057821096643366e-01  3.090926639808193e+00       44
 8.725423728813561e+01 -1.494395362674712e+00 -1.665785206641803e-01 -3.895847228384636e+00 -1.174668118524486e+00  3.014955732315502e+00       45
 8.923728813559323e+01 -1.631707208791676e+00 -1.700619094830450e-01 -4.039047295326315e+00 -1.436689897235200e+00  2.938694524704811e+00       46
 9.122033898305085e+01 -1.773752896448531e+00 -1.731141387614040e-01 -4.164090598242718e+00 -1.679990227521923e+00  2.861770270213699e+00       47
 9.320338983050848e+01 -1.919698261240028e+00 -1.756173469017825e-01 -4.267584659108055e+00 -1.892127214541003e+00  2.783754184571749e+00       48
 9.518644067796613e+01 -2.068888581043171e+00 -1.781161778110962e-01 -4.366207118553907e+00 -2.068345301621199e+00  2.704213110363772e+00       49
 9.716949152542375e+01 -2.221641375066277e+00 -1.808020094873270e-01 -4.465526801415765e+00 -2.150933559416388e+00  2.622550429724545e+00       50
 9.915254237288136e+01 -2.377686345883709e+00 -1.838164457467243e-01 -4.576867855299852e+00 -2.172803428377009e+00  2.538429123619772e+00       51
 1.011355932203390e+02 -2.538122354175492e+00 -1.869537939298838e-01 -4.718509767707772e+00 -2.172295550727966e+00  2.452117173960904e+00       52
 1.031186440677966e+02 -2.703939752926307e+00 -1.899144810706967e-01 -4.868691535336658e+00 -2.148707066097520e+00  2.363978862603501e+00       53
 1.051016949152543e+02 -2.874735207960777e+00 -1.925375222692018e-01 -5.012056812546877e+00 -2.101806190884640e+00  2.274072399704868e+00       54
 1.070847457627119e+02 -3.050439699477167e+00 -1.946745109741194e-01 -5.149975316305123e+00 -2.033353479751663e+00  2.182469907017647e+00       55
 1.090677966101695e+02 -3.230744567477727e+00 -1.964317273204757e-01 -5.288010208255760e+00 -1.940571594610086e+00  2.089197549966813e+00       56
