------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
32          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  8.000000000000000e-01        1
 1.500000000000000e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  8.000000000000000e-01        1
 4.500000000000000e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  8.940000000000000e-01        2
 7.500000000000000e-01  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  1.118000000000000e+00        3
 1.050000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  1.386000000000000e+00        4
 1.350000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  1.610000000000000e+00        5
 1.650000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.286000000000000e+01  1.704000000000000e+00        6
 1.950000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.154000000000000e+01  1.662000000000000e+00        7
 2.250000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.044000000000000e+01  1.619000000000000e+00        8
 2.550000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  9.500000000000000e+00  1.577000000000000e+00        9
 2.850000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  8.710000000000001e+00  1.534000000000000e+00        9
 3.150000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  8.020000000000000e+00  1.492000000000000e+00        9
 3.450000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  7.430000000000000e+00  1.450000000000000e+00        9
 3.750000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.910000000000000e+00  1.407000000000000e+00        9
 4.050000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.450000000000000e+00  1.365000000000000e+00        9
 4.350000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  6.040000000000000e+00  1.322000000000000e+00        9
 4.650000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  5.680000000000000e+00  1.279000000000000e+00        9
 4.950000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  5.350000000000000e+00  1.235000000000000e+00        9
 5.250000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  5.050000000000000e+00  1.192000000000000e+00        9
 5.550000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.770000000000000e+00  1.148000000000000e+00        9
 5.850000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.510000000000000e+00  1.103000000000000e+00        9
 6.150000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.260000000000000e+00  1.058000000000000e+00        9
 6.450000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  4.030000000000000e+00  1.012000000000000e+00        9
 6.750000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.800000000000000e+00  9.660000000000000e-01        9
 7.050000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.570000000000000e+00  9.200000000000000e-01        9
 7.350000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.350000000000000e+00  8.720000000000000e-01        9
 7.650000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.130000000000000e+00  8.240000000000000e-01        9
 7.950000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.900000000000000e+00  7.760000000000000e-01        9
 8.250000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.670000000000000e+00  7.260000000000000e-01        9
 8.550000000000001e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.430000000000000e+00  6.760000000000000e-01        9
 8.850000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.180000000000000e+00  6.260000000000000e-01        9
 9.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.180000000000000e+00  6.260000000000000e-01        9
