------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00 -6.354122360450852e-03 -2.276626484469566e-02  9.170298518062896e-01  1.559455301971172e+01  5.200000000000000e+00        1
 4.034482758598774e+00  5.821578491098223e-02  8.493343478885362e-02  6.882626722066928e-01  1.547354375589837e+01  5.228146511451821e+00        2
 8.068965517197549e+00  9.057158935228826e-02  2.679599441686726e-02  3.341453889091742e-01  1.469202334431742e+01  5.321057285155443e+00        3
 1.210344827579632e+01  1.052732184620034e-01 -1.432788020990968e-01  2.700494966418609e-01  1.332989183308874e+01  5.458157445900954e+00        4
 1.613793103439510e+01  1.286025233431454e-01 -3.057958524957927e-01  4.511122414953422e-01  1.164438038952014e+01  5.602293184737585e+00        5
 2.017241379299388e+01  1.688027060525326e-01 -3.614494662828280e-01  4.183461869985129e-01  9.926520559679284e+00  5.718270305715784e+00        6
 2.420689655159265e+01  1.875176998586842e-01 -4.195264362813891e-01  1.863738352766904e-01  8.437519631764305e+00  5.767073818695151e+00        7
 2.824137931019143e+01  1.950496898778824e-01 -4.255836049118407e-01  1.318773455458139e-01  7.301135524607509e+00  5.712844858766870e+00        8
 3.227586206879020e+01  2.060899720779662e-01 -3.669690788844226e-01  1.139507180901628e-01  6.231737449845325e+00  5.536479442579739e+00        9
 3.631034482738897e+01  2.110973606941973e-01 -3.208960807293777e-01  3.633652793605283e-02  5.229564660507711e+00  5.290944205733843e+00       10
 4.034482758598774e+01  2.112072455275703e-01 -2.852980931907015e-01 -6.504318523316611e-02  4.347675770790201e+00  5.034504005174840e+00       11
 4.437931034458651e+01  2.019373298767687e-01 -2.543872991862977e-01 -3.172139738323218e-01  3.605636647818063e+00  4.814702882800782e+00       12
 4.841379310318529e+01  1.665342248950376e-01 -2.236862184551085e-01 -7.801308454747448e-01  2.978183744879903e+00  4.623219037567612e+00       13
 5.244827586178407e+01  9.207488547852470e-02 -1.950605758910890e-01 -1.221385869781312e+00  2.422916895300009e+00  4.432044638164489e+00       14
 5.648275862038285e+01 -5.460538990694062e-03 -1.725131688534867e-01 -1.477354611292583e+00  1.923670503697973e+00  4.245152213848534e+00       15
 6.051724137898164e+01 -1.159579337479780e-01 -1.561813796922662e-01 -1.711562704206228e+00  1.467450959252279e+00  4.065467652292822e+00       16
 6.455172413758039e+01 -2.464640937522455e-01 -1.474102834504523e-01 -2.137846790974878e+00  1.056459054705965e+00  3.896028372170987e+00       17
 6.858620689617916e+01 -4.169610753527840e-01 -1.430650439809094e-01 -2.661810885031743e+00  6.924733082873097e-01  3.735060762201584e+00       18
 7.262068965477795e+01 -6.211921329247783e-01 -1.436136701751863e-01 -3.049440040047419e+00  3.551669085908501e-01  3.579149911261394e+00       19
 7.665517241337672e+01 -8.462110430545957e-01 -1.480092575080655e-01 -3.254795086193990e+00  1.887675253360368e-02  3.424601614219021e+00       20
 8.068965517197549e+01 -1.079318485215627e+00 -1.544082445862640e-01 -3.419456568248000e+00 -3.579761792326909e-01  3.268005808231610e+00       21
 8.472413793057429e+01 -1.327487344560362e+00 -1.618468662012234e-01 -3.688128820056752e+00 -8.340041423395492e-01  3.111917765099332e+00       22
 8.875862068917304e+01 -1.598359110341670e+00 -1.692602941691878e-01 -3.994183245283746e+00 -1.374354897926974e+00  2.957137511200296e+00       23
 9.279310344777183e+01 -1.889532744712781e+00 -1.751243835971557e-01 -4.243611263305550e+00 -1.848358576070948e+00  2.799898442893979e+00       24
 9.682758620637060e+01 -2.195440706736284e+00 -1.804123944748118e-01 -4.453887413733660e+00 -2.135738523547299e+00  2.636529797720793e+00       25
 1.008620689649694e+02 -2.516142261024246e+00 -1.865819587463237e-01 -4.700731148145762e+00 -2.171772588352594e+00  2.463953532297087e+00       26
 1.048965517235681e+02 -2.856702328713322e+00 -1.922817500046876e-01 -4.986489704752618e+00 -2.108137657598085e+00  2.283497821689957e+00       27
 1.089310344821669e+02 -3.217503509435310e+00 -1.962441249285611e-01 -5.277921024564893e+00 -1.952571620699629e+00  2.095931917045050e+00       28
 1.129655172407657e+02 -3.598941269455759e+00 -1.995020609693752e-01 -5.555924402569079e+00 -1.661692277327032e+00  1.901861553306004e+00       29
 1.169999999993645e+02 -3.998718787548573e+00 -5.907701779748529e-02 -5.686779921813179e+00 -1.242387706272970e+00  5.000000000000000e-01       30
